Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",3,3.69,Crown,Hardcover,305,2017,2017,2023/12/18,2023/12/16,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",5,4.29,Harriman House,Paperback,242,2020,2020,2024/02/19,2024/02/03,,,read,,,,1,0
18342422,Training for the New Alpinism: A Manual for the Climber as Athlete,Steve House,"House, Steve","Scott Johnston, Mark Twight","=""193834023X""","=""9781938340239""",5,4.53,Patagonia,Paperback,464,2014,2014,2024/02/18,2024/02/01,,,read,,,,1,0
30753841,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,"Nosrat, Samin","Wendy MacNaughton, Michael Pollan","=""1476753830""","=""9781476753836""",5,4.40,Simon and Schuster,Hardcover,480,2017,2017,2024/02/10,2024/01/14,,,read,,,,1,0
96642,Rocket Boys (Coalwood #1),Homer Hickam,"Hickam, Homer",,"=""0385333218""","=""9780385333214""",5,4.20,Delta,Paperback,368,2000,1998,2024/02/10,2024/02/01,,,read,,,,1,0
597790,The Children of Húrin,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Alan  Lee","=""0007246226""","=""9780007246229""",5,4.05,HarperCollins,Hardcover,315,2007,2007,2024/01/30,2024/01/27,,,read,,,,1,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",5,4.17,Signet Classics,Mass Market Paperback,449,2004,1868,2024/01/30,2022/01/04,,,read,,,,1,0
41014339,"Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance",Alex  Hutchinson,"Hutchinson, Alex",,"=""""","=""""",4,4.12,Custom House,Kindle Edition,333,2018,2018,2024/01/26,2024/01/06,,,read,,,,1,0
51637946,Light of the Jedi (Star Wars: The High Republic),Charles Soule,"Soule, Charles",,"=""0593157710""","=""9780593157718""",4,3.93,Del Rey,Hardcover,380,2021,2021,2024/01/26,2024/01/15,,,read,,,,1,0
39664,Rita Hayworth and Shawshank Redemption,Stephen        King,"King, Stephen",,"=""0896214400""","=""9780896214408""",0,4.49,Thorndike Press,Hardcover,181,1982,1982,,2024/01/26,to-read,to-read (#22),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",5,4.29,Modern Library,Paperback,279,2023,1813,2024/01/14,2022/01/04,,,read,,,,1,0
